Variable,EOS_vs_Control,PS_vs_Control
GA_wks,0.025894702334986218,4.72110342183356e-06
Concentration_ug_uL,0.027530701275164434,6.774626061682707e-05
sex,0.4161551786980463,1.0
multiplegest,0.7625073020015347,1.0
preeclampsia_gesthtn,0.3052414322129246,0.3241888729495451
route_of_del,0.17228252642887532,1.0
labor,0.07411164574453212,0.30635889204917605
clinicalchorio,8.162570764599427e-07,0.0003859744763714788
ps_riskcat,,
PROM,4.051720181791921e-05,0.0014768712289905984
GA_cat,0.07047630405686288,0.00010983162234773585
deliverysum,0.14445615009569876,0.3737946434837603
