genes,pvals,ctrlmean,eosmean,foldchange,pvalcorr,eosfrac,ctrlfrac,totalfrac,idx
ALB,0.15355425859488037,31.642022055826033,31.34143484071429,0.013770567650732752,0.8142361111111112,1.0,1.0,1.0,0.0
HP;HPR,0.06949079223828945,22.14045760653846,22.988262098333337,-0.054212362579194734,0.6846886882302049,0.42857142857142855,0.17333333333333334,0.1951219512195122,0.2552380952380952
SERPINA1,0.04027792769973034,28.314882055873312,28.699234840461028,-0.019451752887802206,0.6846886882302049,1.0,1.0,1.0,0.0
A2M,0.0359081096513886,27.501478055873317,27.08170626903245,0.022190519746916885,0.6846886882302049,1.0,1.0,1.0,0.0
IGHG1,0.1372957954774505,27.99431472256362,27.653113412142854,0.01769194458215953,0.7915609569470291,1.0,1.0,1.0,0.0
IGHG2,0.8231693228599857,22.625633512691223,22.55174797909091,0.004718927234613186,1.0,0.7857142857142857,0.74,0.7439024390243902,0.04571428571428571
IGHG3,1.0,23.776615479705015,23.817237777,-0.0024627382352175034,1.0,0.7142857142857143,0.6266666666666667,0.6341463414634146,0.0876190476190476
APOA1,0.7979561648160374,31.54148872258726,31.53613484071429,0.0002449051948965967,0.996282527881041,1.0,1.0,1.0,0.0
FGA,0.2637193696216932,25.44246012419593,24.563213411889592,0.05073886731624201,0.858974358974359,1.0,0.9866666666666667,0.9878048780487805,0.013333333333333308
FGB,0.22349873349484184,24.473879255757122,23.660222098333332,0.04877917899755584,0.8319119524530224,0.8571428571428571,0.9133333333333333,0.9085365853658537,0.056190476190476235
FGG,0.13835084597322522,24.943914149229123,24.456641144545458,0.028461588866268043,0.7915609569470291,0.7857142857142857,0.9733333333333334,0.9573170731707317,0.18761904761904769
ORM1,0.2949191917054219,22.158869836065573,22.56593666666667,-0.026262361356578307,0.8883544365631937,0.42857142857142855,0.4066666666666667,0.40853658536585363,0.02190476190476187
TF,0.091791268430153,25.2196893893012,24.843856269032447,0.0216613808642459,0.7500018274171039,1.0,1.0,1.0,0.0
ANXA2;ANXA2P2,0.6623229563629119,18.102341813120585,18.571149680415516,-0.036886786750596465,0.9756929798946605,0.5,0.32666666666666666,0.34146341463414637,0.17333333333333334
QSOX1,0.11710879466460374,21.42930678382087,21.775004814166667,-0.023087856726241193,0.7915609569470291,0.8571428571428571,0.9,0.8963414634146342,0.04285714285714293
NRP1,0.4112999056843105,21.67590164887473,22.33342955329086,-0.04311280423925409,0.9756929798946605,0.35714285714285715,0.6,0.5792682926829268,0.24285714285714283
FCN3,0.5502955999508486,24.634870389301202,24.76013484071429,-0.0073172900548630826,0.9756929798946605,1.0,1.0,1.0,0.0
ATRN,0.37262765039232404,23.507242389324837,23.11489555474673,0.02428246409653815,0.9529027700872409,1.0,1.0,1.0,0.0
APOM,0.7474678743526808,22.302211902758273,22.219973517645432,0.005329704469257489,0.9823692233632866,0.7142857142857143,0.86,0.8475609756097561,0.14571428571428569
CP,0.08307741385074639,29.14145905589696,29.631695554746734,-0.024068068957850276,0.7500018274171039,1.0,1.0,1.0,0.0
F13A1,0.01178067602843039,23.048021677297164,21.93040362111111,0.07171055797141986,0.4933158086905226,0.6428571428571429,0.9666666666666667,0.9390243902439024,0.32380952380952377
PGK1,0.13206444547664598,22.22386741625252,21.56129657375,0.04366596141493328,0.7915609569470291,0.5714285714285714,0.54,0.5426829268292683,0.03142857142857136
F2,0.0385890901055717,28.784945389253917,28.417945555,0.018512214924052844,0.6846886882302049,1.0,1.0,1.0,0.0
