PC1,PC2,sample_type,sample_id
1.148315753087175,-0.551417636,Control,NU1189
-1.035835143,1.9759848389403327,Control,NU057
6.083435776423968,1.9085825966962702,Control,BP927
1.980958625673935,0.43219504548359566,Control,BP860
-1.875320165,0.5924715356335479,Control,NU065
1.1997689635558615,-2.182990097,Control,NU336
0.4024945379238076,-4.429508776,Control,BP093
-0.332763878,-1.331096224,Control,BP210
-0.697422608,-0.929101768,Control,BP1056
-1.469411295,0.9030419851009839,Control,BP168
-1.401248091,0.24923398073370606,Control,NU127
-2.077709762,0.31642495500486767,Control,BP325
-3.082529449,-0.969912107,Control,BP1253
-1.60518489,-1.002640165,Control,NU899
-1.746408052,0.9093191356536519,Control,NU070
1.226464489048233,-2.5982634,Control,NU762
-0.496769279,-0.785224466,Control,BP424
-0.215045886,-3.595074918,Control,BP227
-0.45233371,-2.087672267,Control,BP866
0.8129373778886944,-1.105593731,Control,P263
-1.549977324,-2.545012094,Control,BP661
0.14147123567549613,-2.907067472,Control,NU800
-0.248664119,-1.542259627,Control,NU091
0.9839322835058013,-2.916752718,Control,NU080
-1.575369351,0.9201942840528883,Control,NU657
-0.875292554,-0.705237243,Control,NU1156
-2.14757406,-0.597199022,Control,P224
5.927815735960358,0.088432144,Control,NU160
-3.480444217,-1.380196135,Control,P041
-2.338645117,-0.087040433,Control,BP824
-1.629692005,-3.435127447,Control,BP585
4.5495972964636024,2.4876075189899733,Control,BP359
-1.305709491,-5.103794008,Control,BP929
-0.459718098,2.165354025083273,Control,BP105
-0.707114026,2.175539964943278,Control,NU049
-3.640139736,-1.580730042,Control,NU434
1.231945398829133,-2.619666048,Control,NU624
1.5023350655952328,-0.797577422,Control,BP535
0.5681012228313236,2.945355077181995,Control,BP948
-1.906813659,0.7816067627841452,Control,BP1031
5.720689286076457,1.4737228942517344,Control,BP080
-1.209349403,1.6831233083793116,Control,BP1167
5.4674201010753904,-0.617233936,Control,BP401
0.9775050243710623,1.7242139332435613,Control,NU031
1.3996237203309363,1.7483227808569364,Control,NU367
-0.403759207,1.9202718459769361,Control,BP484
8.368395405,0.10714028459006997,Control,BP097
1.375801877464454,0.9284807125881951,Control,BP255
-1.078182539,1.299013687457494,Control,NU276
-2.590106083,-0.636835086,Control,BP1153
-1.219520979,1.2917104188124124,Control,BP249
-1.182304469,-0.184483276,Control,BP1160
-2.705243463,-0.295558295,Control,BP670
-0.211325924,0.6846977568483226,Control,BP269
-0.869916984,1.8289539357240798,Control,NU002
-0.858702112,1.6878617880151676,Control,BP1123
-3.450501071,-1.654264021,Control,BP1271
-0.362820842,2.373718316022204,Control,NU068
-2.421010657,-0.294324871,Control,BP167
1.428770441815658,4.2013380659747845,Control,P280
-1.024757634,1.6020081591626045,Control,NU267
-2.217994515,-0.272660955,Control,BP534
-1.272676751,-0.343508114,Control,NU185
-2.043017858,0.22490481305158383,Control,BP259
-0.038731694,0.7886051427600016,Control,NU1179
-0.357124319,-0.246058794,Control,NU076
-0.353741891,0.095542655,Control,BP750
-0.521614121,1.7914892658853745,Control,NU037
-0.523905721,2.197324596824309,Control,NU1269
-1.029217374,1.7439769692250646,Control,BP565
-1.240410203,1.0657055035185898,Control,NU086
-1.478157648,-1.176459199,Control,BP248
-2.48620255,0.080398389,Control,BP254
1.0335692186822456,4.1738153800984765,Control,BP1038
-2.902411488,-0.353603182,Control,NU071
0.5538625758659421,3.7223110454832096,Control,BP139
-1.840301156,0.6036939439351219,Control,NU012
-3.226637297,-1.304114357,Control,NU645
-3.456163496,-1.182370904,Control,BP1281
4.369473618531693,2.6898210673568084,Control,NU1238
-1.057818799,1.4199578663986792,Control,BP434
-1.7248728,0.010657061042820715,Control,BP1140
-3.261189721,-0.922861128,Control,NU599
-1.755277772,0.6760916780905486,Control,NU052
-2.210721235,-0.768014729,Control,NU103
-2.765061997,-0.63918832,Control,NU020
-3.087195388,-0.469233666,Control,NU101
1.1375714797923422,3.7565033501828715,Control,BP928
-2.946943762,-0.681942127,Control,NU1226
-2.687198712,-0.363907795,Control,NU085
1.694224764583943,3.6170778891476765,Control,BP083
-2.720523346,-0.441260738,Control,NU024
-3.233702367,-1.229510854,Control,BP1178
-4.788977177,-2.937854768,Control,NU1242
-2.001299554,0.6430783791019934,Control,NU1067
-2.820027553,-0.463997832,Control,BP1342
-1.553419563,1.095439518,Control,BP996
-3.226101938,-0.637409551,Control,NU279
-4.195061725,-2.524794094,Control,NU125
-1.604035965,-0.086417349,Control,BP116
1.4971274555899754,0.060824220408903784,Control,NU689
-4.006921607,-2.314659005,Control,NU033
-3.187597103,-0.778345453,Control,BP016
-3.348086171,-0.806511781,Control,NU082
-2.592791921,-1.262242234,Control,BP1005
-3.24978752,-2.110109355,Control,BP127
-3.615288052,-2.10235057,Control,NU475
-2.464896692,-0.356157982,Control,NU653
-0.137195297,2.3837804580528275,Control,NU241
-3.130120002,-1.00233427,Control,BP099
-3.400686577,-2.098548473,Control,NU1230
-2.634283147,-0.21465096,Control,BP784
-0.382621373,2.2393934643264153,Control,NU347
-1.084187602,1.489021541,Control,NU021
-2.118295563,-0.014140454,Control,NU027
-0.808907998,1.5813479836542896,Control,BP731
0.46354649531993886,0.509500688,Control,BP524
0.1101555085539232,1.0984799186235357,Control,NU072
-2.589166772,-0.417251586,Control,BP143
1.972065661017048,-0.841918375,Control,NU058
-1.698505973,1.192660271200367,Control,BP964
-0.497403844,0.4011955321737677,Control,BP1003
-0.208033871,2.1931693876640175,Control,NU704
-0.598126839,1.7147484194669342,Control,BP885
0.18349934425380354,-0.269871053,Control,BP400
-0.626016637,1.903924459272556,Control,NU1215
-0.99550265,-2.14978887,Control,NU191
-2.228107365,-0.095866796,Control,P227
9.844083640311858,-0.660622598,Control,BP953
-1.709260868,0.8863577385603953,Control,P141
-1.627447659,0.9834695726954745,Control,BP900
1.2637308529046294,1.5134704336776856,Control,NU011
-2.061423216,0.4927901588449739,Control,BP555
1.9625816996878456,0.057945228,Control,NU307
-1.126846076,-0.283620183,Control,NU163
-4.383898196,-2.20973275,Control,NU1101
2.0061687868967653,1.4373610222760913,Control,BP783
-3.211936593,-0.95520639,Control,P225
-0.531793916,2.181332877962422,Control,NU647
-2.118041275,0.28573140146259846,Control,BP1111
1.370069338768424,1.555444442509197,Control,NU079
0.38909235221715477,2.8862407552514338,Control,NU300
