,CRP_avg_conc_pg,SAA_avg_conc_pg,LBP_avg_conc_pg,GA_wks,sex,multiplegest,preeclampsia_gesthtn,route_of_del,labor,deliverysum,clinicalchorio,PROM,Concentration_ug_uL
CRP_avg_conc_pg,1.0,0.7666243801176336,0.6251643409064699,-0.28007608434963455,-0.16730819384263762,-0.13451250702508885,-0.23538387532570643,-0.23088300799802097,0.2895434107550039,-0.29021914192746245,0.35338685245911905,0.2938649541991084,-0.14594437707590896
SAA_avg_conc_pg,0.7666243801176336,1.0,0.5932649060085342,-0.17866339149800453,-0.1590587913727387,-0.15968443816428673,-0.08188505723451847,-0.2521076791368525,0.1944694549847041,-0.26471182638602997,0.3626865064712011,0.2988038609923708,-0.07677802915815125
LBP_avg_conc_pg,0.6251643409064699,0.5932649060085342,1.0,-0.13558097528258567,-0.14874703828536506,-0.040117765253096675,-0.007132844706839589,-0.21276438629414043,0.13643730016387176,-0.21152952852669574,0.33246263093193434,0.19879099842880865,0.07096931685803276
GA_wks,-0.28007608434963455,-0.17866339149800453,-0.13558097528258567,1.0,-0.04874055558156115,0.09337948125817208,0.22119770655101828,-0.26851096844056477,0.03304081736326695,-0.20728112290290437,-0.10175154546694683,-0.08831470809247054,0.5710025608031843
sex,-0.16730819384263762,-0.1590587913727387,-0.14874703828536506,-0.04874055558156115,1.0,0.025162764659466607,0.12832383286630672,0.022744462145633713,0.09636283604710932,-0.02496701940116776,-0.06585789504868012,-0.013562176925148722,-0.046403513247884866
multiplegest,-0.13451250702508885,-0.15968443816428673,-0.040117765253096675,0.09337948125817208,0.025162764659466607,1.0,-0.014427761851221849,0.2496023783551215,0.06461578119797459,0.15180261498885184,-0.11346519032104045,-0.1488341027593797,-0.0736813314804234
preeclampsia_gesthtn,-0.23538387532570643,-0.08188505723451847,-0.007132844706839589,0.22119770655101828,0.12832383286630672,-0.014427761851221849,1.0,0.14573538128842728,-0.3483891653476569,0.254217107052031,-0.1472642081021448,-0.2930892978321558,0.40515103061572777
route_of_del,-0.23088300799802097,-0.2521076791368525,-0.21276438629414043,-0.26851096844056477,0.022744462145633713,0.2496023783551215,0.14573538128842728,1.0,-0.4844813951249545,0.9269623828717428,-0.18083028528040337,-0.18060549049036764,-0.16902313094150484
labor,0.2895434107550039,0.1944694549847041,0.13643730016387176,0.03304081736326695,0.09636283604710932,0.06461578119797459,-0.3483891653476569,-0.4844813951249545,1.0,-0.7772815877574013,0.12552918289216958,0.2888888888888889,-0.08025831525824502
deliverysum,-0.29021914192746245,-0.26471182638602997,-0.21152952852669574,-0.20728112290290437,-0.02496701940116776,0.15180261498885184,0.254217107052031,0.9269623828717428,-0.7772815877574013,1.0,-0.18388479257028556,-0.2537791166866045,-0.08714220425758427
clinicalchorio,0.35338685245911905,0.3626865064712011,0.33246263093193434,-0.10175154546694683,-0.06585789504868012,-0.11346519032104045,-0.1472642081021448,-0.18083028528040337,0.12552918289216958,-0.18388479257028556,1.0,0.34118188170692243,-0.0610298006042488
PROM,0.2938649541991084,0.2988038609923708,0.19879099842880865,-0.08831470809247054,-0.013562176925148722,-0.1488341027593797,-0.2930892978321558,-0.18060549049036764,0.2888888888888889,-0.2537791166866045,0.34118188170692243,1.0,-0.058032935648269474
Concentration_ug_uL,-0.14594437707590896,-0.07677802915815125,0.07096931685803276,0.5710025608031843,-0.046403513247884866,-0.0736813314804234,0.40515103061572777,-0.16902313094150484,-0.08025831525824502,-0.08714220425758427,-0.0610298006042488,-0.058032935648269474,1.0
